resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
cement,14,PRUNED,30,142.4159728009311,0.9493963279394384,150.00687132425452,-14.516858059234892,"[""own_usd_deflated"", ""natgas_ret_1m"", ""own_ret_lag_21"", ""gap_roll_mean_5"", ""copper_vol_7"", ""natgas_ret_3m"", ""own_ret_lag_7"", ""own_std_7"", ""own_macd_hist"", ""oil_lag_14"", ""own_dist_low_60"", ""own_std_14"", ""own_ret_lag_60"", ""aluminium_ret_1"", ""own_vol_7"", ""steel_vol_7"", ""copper_z_7"", ""copper_z_21"", ""own_vol_3"", ""oil_lag_1"", ""own_range_7"", ""own_logret_lag_21"", ""copper_lag_1"", ""own_std_60"", ""aluminium_vol_21"", ""own_z_3"", ""own_logret_lag_60"", ""steel_lag_7"", ""own_mean_5"", ""steel_ret_1""]"
cement,21,ALL,229,171.5194532902841,1.0076046866436479,170.22494591764848,,
cement,21,minus_own_lags,196,178.75152182797768,1.0500900491662026,170.22494591764848,7.2320685376935785,
cement,21,minus_own_rolling,172,180.31106424702745,1.0592517052950536,170.22494591764848,8.791610956743341,
cement,21,minus_own_momentum,200,185.31134553794632,1.0886262559166642,170.22494591764848,13.791892247662219,
cement,21,minus_calendar,223,178.47696152569503,1.048477122806893,170.22494591764848,6.957508235410927,
cement,21,minus_cross_resource,164,186.7098365174872,1.0968418025394102,170.22494591764848,15.190383227203085,
cement,21,minus_fx,221,185.66601128058477,1.0907097680642317,170.22494591764848,14.146557990300664,
cement,21,minus_external_macro,198,173.99843561573942,1.0221676657187277,170.22494591764848,2.47898232545532,
cement,21,PRUNED,30,160.8849862213872,0.9451316630126599,170.22494591764848,-10.634467068896896,"[""own_dist_low_60"", ""own_usd_deflated"", ""own_range_60"", ""own_dist_high_60"", ""steel_vol_7"", ""aluminium_vol_7"", ""steel_ret_5"", ""own_ret_lag_30"", ""own_mom_60"", ""own_ret_3"", ""ratio_own_steel_z21"", ""own_ret_lag_7"", ""own_std_5"", ""own_std_3"", ""own_mom_3"", ""relmom_own_oil_21"", ""own_ret_1"", ""steel_ret_1"", ""own_mom_30"", ""own_ret_5"", ""own_ret_lag_45"", ""gap_roll_mean_5"", ""own_vol_5"", ""own_mom_45"", ""own_std_45"", ""usd_level"", ""steel_z_21"", ""own_std_7"", ""own_z_45"", ""own_range_14""]"
oil,1,ALL,229,1.3552202781474958,1.0689439761734882,1.267812259907946,,
oil,1,minus_own_lags,196,1.3565122007240977,1.0699629934345265,1.267812259907946,0.0012919225766019338,
oil,1,minus_own_rolling,172,1.3581061810841772,1.0712202618886075,1.267812259907946,0.0028859029366814504,
oil,1,minus_own_momentum,200,1.368347931315692,1.0792985480476784,1.267812259907946,0.013127653168196307,
oil,1,minus_calendar,223,1.3350541157432727,1.0530377075232014,1.267812259907946,-0.020166162404223087,
oil,1,minus_cross_resource,164,1.3559983350787608,1.0695576766052237,1.267812259907946,0.000778056931264981,
oil,1,minus_fx,221,1.3726426215777245,1.0826860293001033,1.267812259907946,0.01742234343022875,
